,City,Lat,Lng,Country,Max.Temp,Humidity,Cloudiness,Wind Speed
0,Nizhnevartovsk,60.9344,76.5531,RU,-3.0,93,90,2.0
1,Mataura,-46.1927,168.8643,NZ,12.22,96,82,0.89
2,Albany,42.6001,-73.9662,US,12.22,19,0,2.24
3,Esperance,-33.8667,121.9,AU,14.0,94,51,4.12
4,Hilo,19.7297,-155.09,US,21.0,83,90,4.63
5,Gonder,12.6,37.4667,ET,17.26,21,1,5.36
6,Kousséri,12.0769,15.0306,CM,35.0,23,0,1.03
7,Bubaque,11.2833,-15.8333,GW,25.53,69,49,8.46
8,Half Moon Bay,37.4636,-122.4286,US,15.0,71,1,6.17
9,Trairi,-3.2778,-39.2689,BR,26.47,73,1,4.22
10,Esso,55.9333,158.7,RU,-17.67,89,0,2.25
11,Huarmey,-10.0681,-78.1522,PE,25.32,66,1,4.52
12,Vila Velha,-20.3297,-40.2925,BR,27.22,74,20,2.06
13,Guerrero Negro,27.9769,-114.0611,MX,23.02,47,31,8.52
14,Jalu,29.0331,21.5482,LY,25.18,15,73,4.14
15,Saint-Philippe,-21.3585,55.7679,RE,26.0,83,20,8.23
16,San Buenaventura,27.0833,-101.5333,MX,22.0,35,1,2.06
17,Port Alfred,-33.5906,26.891,ZA,20.06,89,52,6.29
18,Bambous Virieux,-20.3428,57.7575,MU,26.11,89,75,4.63
19,Cape Town,-33.9258,18.4232,ZA,18.89,68,20,6.17
20,Laguna,38.421,-121.4238,US,16.67,41,40,4.12
21,Cherskiy,68.75,161.3,RU,-28.69,85,0,2.33
22,Qaqortoq,60.7167,-46.0333,GL,0.0,93,90,5.86
23,Rikitea,-23.1203,-134.9692,PF,26.53,74,7,3.52
24,George Town,5.4112,100.3354,MY,27.78,83,20,1.54
25,Ponta do Sol,32.6667,-17.1,PT,15.0,60,29,2.68
26,Kapaa,22.0752,-159.319,US,23.33,73,75,9.26
27,Verkhnevilyuysk,63.4453,120.3167,RU,-23.02,88,100,5.03
28,Tilichiki,60.4667,166.1,RU,-25.72,89,5,3.37
29,Haines Junction,60.7522,-137.5108,CA,-12.0,40,100,1.03
30,Kismayo,-0.3582,42.5454,SO,26.41,80,30,5.49
31,Hamilton,39.1834,-84.5333,US,16.11,21,1,2.06
32,San Policarpo,12.1791,125.5072,PH,27.29,84,99,5.62
33,Pacific Grove,36.6177,-121.9166,US,14.0,58,1,5.66
34,Bana,5.1481,10.2762,CM,15.95,89,94,0.31
35,Mocuba,-16.8392,36.9856,MZ,22.66,97,97,0.61
36,Sabla,12.7525,4.7077,NG,33.55,10,100,2.55
37,Maiduguri,11.8464,13.1603,NG,32.0,31,71,1.95
38,Padang,-0.9492,100.3543,ID,24.0,94,90,1.03
39,Soyo,-6.1349,12.3689,AO,27.16,83,100,2.85
40,Tasiilaq,65.6145,-37.6368,GL,-5.0,93,90,18.52
41,Sisimiut,66.9395,-53.6735,GL,-5.81,79,83,5.42
42,Kaitangata,-46.2817,169.8464,NZ,14.44,73,68,3.58
43,Saint George,37.1041,-113.5841,US,22.0,20,40,14.92
44,Lokomotivnyy,53.0118,60.5684,RU,-6.54,86,27,5.84
45,Puerto Ayora,-0.7393,-90.3518,EC,29.0,70,20,4.12
46,Ribeira Grande,38.5167,-28.7,PT,16.0,77,20,6.17
47,Yellowknife,62.456,-114.3525,CA,-12.0,67,75,8.23
48,Dikson,73.5069,80.5464,RU,-31.02,84,10,8.53
49,Ushuaia,-54.8,-68.3,AR,10.0,66,40,15.43
50,Upernavik,72.7868,-56.1549,GL,-17.76,96,100,5.94
51,Feldkirch,47.2331,9.6,AT,-2.22,93,10,0.89
52,Busselton,-33.65,115.3333,AU,20.12,46,0,1.95
53,São Filipe,14.8961,-24.4956,CV,22.07,69,49,1.99
54,Mundo Nuevo (Ojo de Agua),18.7,-95.5,MX,22.99,64,3,6.5
55,Shaunavon,49.6501,-108.4181,CA,8.0,36,100,6.17
56,Avarua,-21.2078,-159.775,CK,28.0,78,69,5.14
57,Mehamn,71.0357,27.8492,NO,-0.06,83,100,6.29
58,Linares,-35.85,-71.6,CL,26.13,16,91,2.0
59,College,64.8569,-147.8028,US,-8.89,38,1,4.63
60,Arraial do Cabo,-22.9661,-42.0278,BR,29.0,83,0,8.75
61,Mata,40.683,-7.4592,PT,5.09,52,0,3.64
62,Bathsheba,13.2167,-59.5167,BB,28.0,54,20,8.75
63,Babstovo,48.1167,132.4833,RU,-2.1,96,100,3.44
64,Hobart,-42.8794,147.3294,AU,15.0,67,75,2.06
65,Ancud,-41.8697,-73.8203,CL,18.0,55,0,2.06
66,Provideniya,64.3833,-173.3,RU,-15.56,76,100,7.22
67,Tsumeb,-19.2333,17.7167,NA,20.85,70,50,2.67
68,Saskylakh,71.9167,114.0833,RU,-36.9,99,100,4.55
69,Miracema do Tocantins,-9.5618,-48.3967,BR,25.64,89,55,1.96
70,Sabha,27.0377,14.4283,LY,22.77,17,0,2.65
71,Barrow,71.2906,-156.7887,US,-23.0,77,1,4.63
72,Lata,40.1629,-8.3327,PT,12.78,66,0,4.63
73,Nikolskoye,59.7035,30.7861,RU,-2.78,86,90,6.0
74,Srednekolymsk,67.45,153.6833,RU,-24.63,84,0,0.79
75,Cabedelo,-6.9811,-34.8339,BR,26.0,83,0,4.12
76,Malanje,-9.5402,16.341,AO,18.71,93,100,1.28
77,Hervey Bay,-25.2986,152.8535,AU,23.89,94,81,0.45
78,Hermanus,-34.4187,19.2345,ZA,12.78,93,9,3.64
79,Ardakān,32.31,54.0175,IR,15.0,17,40,3.09
80,Hong Kong,22.2855,114.1577,HK,24.44,83,53,0.45
81,Hasaki,35.7333,140.8333,JP,16.0,88,75,5.14
82,Punta Arenas,-53.15,-70.9167,CL,11.0,58,75,10.8
83,Faya,18.3851,42.4509,SA,18.0,48,0,2.06
84,Bobov Dol,42.3697,23.0172,BG,1.11,100,90,1.03
85,Ucluelet,48.9329,-125.5528,CA,8.89,71,75,8.23
86,Cabo San Lucas,22.8909,-109.9124,MX,30.0,21,20,4.12
87,Husavik,66.0449,-17.3389,IS,5.0,65,90,9.26
88,Zhangjiakou,40.81,114.8794,CN,-2.88,30,0,7.82
89,Alice Springs,-23.7,133.8833,AU,19.0,82,90,4.12
90,Hobyo,5.3505,48.5268,SO,26.21,80,18,6.29
91,Lavrentiya,65.5833,-171.0,RU,-17.98,82,100,6.34
92,Emba,48.8264,58.1442,KZ,-4.56,96,100,4.15
93,Hukuntsi,-24.0,21.75,BW,23.19,44,10,2.23
94,Hazorasp,41.3194,61.0742,UZ,4.0,87,39,1.03
95,Maryville,35.7565,-83.9705,US,17.22,27,1,4.63
96,Butaritari,3.0707,172.7902,KI,27.83,79,12,8.63
97,Ostrovnoy,68.0531,39.5131,RU,-8.36,92,55,6.98
98,Mokhsogollokh,61.4681,128.9203,RU,-11.98,87,96,3.05
99,Ozernovskiy,51.5,156.5167,RU,-8.55,84,82,4.86
100,Longyearbyen,78.2186,15.6401,SJ,-10.0,73,40,3.6
101,Zhigansk,66.7697,123.3711,RU,-9.31,93,100,10.81
102,Chokurdakh,70.6333,147.9167,RU,-28.39,99,0,1.54
103,Anadyr,64.75,177.4833,RU,-21.67,71,0,4.0
104,General Roca,-39.0333,-67.5833,AR,25.0,31,0,3.6
105,Hambantota,6.1241,81.1185,LK,25.71,79,82,1.86
106,East London,-33.0153,27.9116,ZA,21.49,83,60,6.66
107,Nuuk,64.1835,-51.7216,GL,-1.0,80,75,5.14
108,Rome,43.2128,-75.4557,US,12.0,26,1,5.66
109,Mizdah,31.4451,12.9801,LY,22.28,14,2,6.84
110,Road Town,18.4167,-64.6167,VG,27.0,65,75,6.69
111,Baculin,7.4525,126.5842,PH,25.73,82,88,2.57
112,Pisco,-13.7,-76.2167,PE,26.0,53,0,9.77
113,Polson,47.6936,-114.1632,US,6.11,58,83,3.58
114,Cibeureum,-7.3552,108.2693,ID,21.99,93,64,0.76
115,Castro,-24.7911,-50.0119,BR,21.89,90,75,2.17
116,Pontianak,-0.0333,109.3333,ID,24.0,100,90,1.03
117,Chapais,49.7834,-74.8492,CA,9.0,34,1,7.2
118,Geraldton,-28.7667,114.6,AU,20.0,45,0,4.63
119,New Norfolk,-42.7826,147.0587,AU,14.44,65,3,0.87
120,Umluj,25.0213,37.2685,SA,26.61,36,0,3.07
121,Cap Malheureux,-19.9842,57.6142,MU,26.11,86,5,2.24
122,Muromtsevo,56.3724,75.2418,RU,0.37,97,100,6.57
123,Cidreira,-30.1811,-50.2056,BR,25.31,85,3,9.45
124,Mar del Plata,-38.0023,-57.5575,AR,20.0,77,0,1.54
125,Betong,5.7743,101.0723,TH,20.8,97,99,0.84
126,Bethel,41.3712,-73.414,US,13.33,26,21,2.22
127,La Ronge,55.1001,-105.2842,CA,11.0,25,24,3.09
128,Al Bardīyah,31.7561,25.0865,LY,16.76,83,45,4.25
129,Tuktoyaktuk,69.4541,-133.0374,CA,-27.0,76,75,3.6
130,Barra do Corda,-5.5,-45.25,BR,25.12,92,42,0.79
131,Sinnamary,5.3833,-52.95,GF,25.82,84,33,4.43
132,Khorramshahr,30.4397,48.1664,IR,20.0,32,0,5.14
133,Vaini,-21.2,-175.2,TO,29.0,79,40,3.6
134,Thompson,55.7435,-97.8558,CA,11.0,32,20,3.6
135,Alugan,12.2188,125.4808,PH,26.99,85,95,5.08
136,Rāwah,34.4816,41.9093,IQ,16.77,39,37,4.61
137,Severo-Yeniseyskiy,60.3725,93.0408,RU,-9.22,96,100,1.78
138,Karpogory,64.0019,44.4451,RU,-11.47,94,95,3.14
139,Nome,64.5011,-165.4064,US,-11.0,57,1,10.8
140,Tiksi,71.6872,128.8694,RU,-27.85,99,100,4.81
141,Norman Wells,65.282,-126.8329,CA,-18.0,60,40,5.66
142,La Santisima Trinidad,-14.8333,-64.9,BO,29.0,74,75,1.94
143,Krasnogvardeyskoye,45.8456,41.5186,RU,2.59,89,71,3.87
144,Tazovsky,67.4667,78.7,RU,-27.07,86,100,6.82
145,Nanortalik,60.1432,-45.2371,GL,0.03,98,100,7.35
146,Lompoc,34.6391,-120.4579,US,16.0,48,1,7.2
147,Plouzané,48.3833,-4.6167,FR,7.0,76,90,1.03
148,Sayyan,15.1718,44.3244,YE,14.12,19,37,2.41
149,Isla Mujeres,21.2311,-86.731,MX,26.0,61,75,3.6
150,Beni Suef,29.0731,31.0979,EG,24.91,22,29,2.76
151,Souillac,-20.5167,57.5167,MU,26.0,89,75,4.63
152,Obregon,11.9566,-85.9636,NI,33.0,49,75,8.23
153,Doka,13.5167,35.7667,SD,29.76,18,3,8.8
154,Vallenar,-28.5708,-70.7581,CL,26.98,27,0,4.18
155,Atuona,-9.8,-139.0333,PF,26.79,78,17,5.64
156,Poronaysk,49.2167,143.1167,RU,-5.71,84,100,2.35
157,Binga,-17.6203,27.3414,ZW,22.85,71,0,0.29
158,Yerbogachën,61.2767,108.0108,RU,-34.55,92,0,3.02
159,Atar,20.5169,-13.0499,MR,23.17,11,11,4.72
160,Jamestown,42.097,-79.2353,US,12.0,20,1,1.33
161,Kavaratti,10.5669,72.642,IN,28.13,65,8,2.9
162,Torbay,47.6666,-52.7314,CA,-3.33,68,75,8.23
163,Constitución,-35.3333,-72.4167,CL,17.53,66,100,3.86
164,Sigulda,57.1519,24.8647,LV,-2.22,94,100,3.58
165,Beatrice,40.2681,-96.747,US,18.0,25,1,11.32
166,Caucayá,-0.1934,-74.7819,CO,31.68,55,72,1.61
167,Sawtell,-30.3833,153.1,AU,21.11,94,90,3.93
168,Cayenne,4.9333,-52.3333,GF,27.22,78,90,3.6
169,Bluff,-46.6,168.3333,NZ,12.22,96,84,0.89
170,Kemijärvi,66.7131,27.4306,FI,-1.2,97,100,4.09
171,Lebu,-37.6167,-73.65,CL,16.38,71,8,2.45
172,Port Hedland,-20.3167,118.5667,AU,21.0,78,3,5.14
173,Ust'-Shonosha,61.1531,41.343,RU,-9.31,92,93,3.95
174,Kamaishi,39.2667,141.8833,JP,9.68,98,100,3.27
175,Buta,2.7858,24.73,CD,20.2,98,100,0.96
176,Morón,-34.6534,-58.6198,AR,21.11,80,100,0.89
177,Gondanglegi,-7.7479,112.0132,ID,23.39,88,87,1.02
178,Linhares,-19.3911,-40.0722,BR,24.13,85,0,2.24
179,Airai,-8.9266,125.4092,TL,15.68,83,42,1.08
180,Kenai,60.5544,-151.2583,US,-7.0,67,100,10.29
181,Bredasdorp,-34.5322,20.0403,ZA,13.0,94,50,1.03
182,Muravlenko,63.7898,74.523,RU,-16.33,94,100,9.02
183,Rodolfo Sánchez Taboada,31.7167,-116.5667,MX,18.33,78,1,2.24
184,Mahébourg,-20.4081,57.7,MU,26.0,89,75,4.63
185,Bandarbeyla,9.4942,50.8122,SO,25.04,79,1,4.59
186,Liwale,-9.7667,37.9333,TZ,20.6,96,93,0.43
187,Avera,33.194,-82.5271,US,15.0,36,1,5.66
188,Mossamedes,-15.1961,12.1522,AO,23.17,73,30,1.44
189,Port Elizabeth,-33.918,25.5701,ZA,17.78,88,9,0.89
190,Qaanaaq,77.484,-69.3632,GL,-21.48,99,100,2.35
191,Leningradskiy,69.3833,178.4167,RU,-24.15,84,100,0.43
192,Várzea da Palma,-17.5981,-44.7308,BR,23.81,77,10,2.02
193,San Patricio,28.017,-97.5169,US,21.67,46,20,3.09
194,Vestmannaeyjar,63.4427,-20.2734,IS,5.0,81,40,9.26
195,Katsuura,35.1333,140.3,JP,17.22,88,75,6.17
196,Sembakung,3.8167,117.25,ID,23.04,97,43,0.78
197,Harrisonburg,38.4496,-78.8689,US,14.44,33,0,2.02
198,Los Altos Hills,37.3797,-122.1375,US,16.11,51,1,6.69
199,Kirkuk,35.4681,44.3922,IQ,13.51,51,91,3.28
200,Naze,28.3667,129.4833,JP,17.89,88,100,5.79
201,The Valley,18.217,-63.0578,AI,26.11,69,20,7.72
202,Carndonagh,55.25,-7.2667,IE,8.55,95,100,5.56
203,Celestún,20.8667,-90.4,MX,23.32,59,4,5.74
204,Weyburn,49.6668,-103.8511,CA,12.0,30,99,7.72
205,Preobrazheniye,42.9019,133.9064,RU,-0.04,91,100,4.53
206,Khanbari,27.3747,87.2039,NP,16.31,40,1,1.87
207,Mineros,-17.1167,-63.2333,BO,30.0,66,40,5.14
208,Hancheng,32.5186,112.3522,CN,11.67,38,100,2.72
209,Hecun,36.5333,114.1111,CN,4.35,27,0,3.41
210,Cascais,38.6979,-9.4215,PT,12.22,65,0,4.02
211,Pitimbu,-7.4706,-34.8086,BR,26.0,83,0,4.12
212,Samdari,25.8167,72.5833,IN,23.52,22,0,1.97
213,Waitati,-45.75,170.5667,NZ,13.89,74,8,4.02
214,Grand Gaube,-20.0064,57.6608,MU,26.11,86,7,2.24
215,Carnarvon,-24.8667,113.6333,AU,22.0,88,0,3.09
216,Pokrovskoye,47.4157,38.8971,RU,1.67,93,63,4.02
217,Parkes,-33.1333,148.1833,AU,21.67,72,100,2.24
218,Urubichá,-15.3833,-62.95,BO,25.58,95,99,1.09
219,Hangu,39.2489,117.7892,CN,4.0,28,0,10.0
220,Araouane,18.9048,-3.5265,ML,26.85,12,0,4.38
221,Kumul,42.8,93.45,CN,1.33,16,0,1.99
222,Russell,32.3502,-85.1999,US,17.0,25,1,3.09
223,Udachny,66.4167,112.4,RU,-30.69,94,100,15.87
