fips_txt,Stabr,area_name,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019
00000,US,United States,"163,100,055","157,115,247","5,984,808",3.7
01000,AL,Alabama,"2,241,747","2,174,483","67,264",3.0
01001,AL,"Autauga County, AL","26,172","25,458",714,2.7
01003,AL,"Baldwin County, AL","97,328","94,675","2,653",2.7
01005,AL,"Barbour County, AL","8,537","8,213",324,3.8
01007,AL,"Bibb County, AL","8,685","8,419",266,3.1
01009,AL,"Blount County, AL","25,331","24,655",676,2.7
01011,AL,"Bullock County, AL","4,818","4,643",175,3.6
01013,AL,"Butler County, AL","9,263","8,925",338,3.6
01015,AL,"Calhoun County, AL","46,209","44,574","1,635",3.5
01017,AL,"Chambers County, AL","15,748","15,286",462,2.9
01019,AL,"Cherokee County, AL","11,604","11,266",338,2.9
01021,AL,"Chilton County, AL","19,818","19,280",538,2.7
01023,AL,"Choctaw County, AL","4,670","4,452",218,4.7
01025,AL,"Clarke County, AL","7,557","7,121",436,5.8
01027,AL,"Clay County, AL","6,101","5,918",183,3.0
01029,AL,"Cleburne County, AL","5,806","5,623",183,3.2
01031,AL,"Coffee County, AL","21,402","20,779",623,2.9
01033,AL,"Colbert County, AL","23,646","22,761",885,3.7
01035,AL,"Conecuh County, AL","4,533","4,353",180,4.0
01037,AL,"Coosa County, AL","4,549","4,414",135,3.0
01039,AL,"Covington County, AL","15,653","15,119",534,3.4
01041,AL,"Crenshaw County, AL","6,476","6,293",183,2.8
01043,AL,"Cullman County, AL","38,646","37,648",998,2.6
01045,AL,"Dale County, AL","20,724","20,082",642,3.1
01047,AL,"Dallas County, AL","14,711","13,904",807,5.5
01049,AL,"DeKalb County, AL","31,052","30,182",870,2.8
01051,AL,"Elmore County, AL","37,565","36,586",979,2.6
01053,AL,"Escambia County, AL","14,762","14,248",514,3.5
01055,AL,"Etowah County, AL","42,723","41,295","1,428",3.3
01057,AL,"Fayette County, AL","6,579","6,372",207,3.1
01059,AL,"Franklin County, AL","14,696","14,291",405,2.8
01061,AL,"Geneva County, AL","11,045","10,725",320,2.9
01063,AL,"Greene County, AL","2,883","2,722",161,5.6
01065,AL,"Hale County, AL","6,119","5,878",241,3.9
01067,AL,"Henry County, AL","6,944","6,697",247,3.6
01069,AL,"Houston County, AL","46,234","44,844","1,390",3.0
01071,AL,"Jackson County, AL","23,484","22,712",772,3.3
