incident_id,date,address,n_killed,n_injured,latitude,longitude,city,state_name,state_ab,county,mean_income,median_income,poverty_population,poverty_rate,unemployed_n,unemployed_rate
482942,17-03-13,Northwest 16th Street and Northwest Avenue L,0,5,26.6968,-80.6837,belle glade,Florida,FL,Alachua,82801.0,73425.0,"46,916",18.4,4105.0,2.9
485821,27-04-13,County Road 318,1,3,29.4035,-82.3647,gainesville,Florida,FL,Alachua,39023.0,31371.0,"46,916",18.4,4105.0,2.9
490793,07-07-13,1600 block of Northwest 7th Lane,1,3,26.2489,-80.1352,pompano beach,Florida,FL,Alachua,42673.0,35358.0,"46,916",18.4,4105.0,2.9
491265,26-07-13,1485 W 46th St,7,0,25.864,-80.3122,hialeah gardens,Florida,FL,Alachua,57174.0,39071.0,"46,916",18.4,4105.0,2.9
492276,25-08-13,1050 Southeast 6th Street,4,1,30.0194,-82.3278,lake city,Florida,FL,Alachua,48348.0,40683.0,"46,916",18.4,4105.0,2.9
480462,17-09-13,Flying Fortress Avenue,0,5,28.3107,-81.4488,kissimmee,Florida,FL,Alachua,66135.0,49968.0,"46,916",18.4,4105.0,2.9
480632,21-09-13,2600 block of Forest Hill Boulevard,0,4,26.6552,-80.062,palm springs,Florida,FL,Alachua,50446.0,41243.0,"46,916",18.4,4105.0,2.9
481254,20-10-13,7400 block of Santa Monica Drive,0,4,26.2503,-80.2237,margate,Florida,FL,Alachua,52992.0,46897.0,"46,916",18.4,4105.0,2.9
493109,05-11-13,1100 block of Randolph,4,0,30.3068,-81.7298,jacksonville,Florida,FL,Alachua,22488.0,20336.0,"46,916",18.4,4105.0,2.9
495543,15-12-13,7th Avenue and 13th Terrace,1,3,25.4631,-80.4572,homestead,Florida,FL,Miami-Dade,42416.0,33810.0,"419,056",15.7,33065.0,2.4
92497,01-01-14,2600 block of Edison Avenue,0,0,26.6336,-81.8601,fort myers,Florida,FL,Lee,20533.0,18545.0,"85,295",11.2,10911.0,3.1
92504,01-01-14,1300 block of W. Hartley Circle,0,1,28.899,-81.2615,deltona,Florida,FL,Alachua,40470.0,36552.0,"46,916",18.4,4105.0,2.9
92487,01-01-14,2408 W. Kennedy Blvd.,0,2,27.9447,-82.4842,tampa,Florida,FL,Hillsborough,72435.0,62089.0,"195,684",13.5,23152.0,3.1
92512,01-01-14,1141 West 31st Street,1,1,26.7875,-80.0714,lake park,Florida,FL,Alachua,101571.0,85457.0,"46,916",18.4,4105.0,2.9
92560,01-01-14,2100 block of 64th Avenue,0,1,26.1522,-80.2348,lauderhill,Florida,FL,Alachua,30750.0,26771.0,"46,916",18.4,4105.0,2.9
92481,01-01-14,9009 Western Lake Drive,0,1,30.2076,-81.5532,orange park,Florida,FL,Clay,53077.0,43800.0,"18,095",8.3,3251.0,3.0
92530,02-01-14,Dale Mabry Highway at Spruce St.,0,0,27.9594,-82.5056,tampa,Florida,FL,Hillsborough,72435.0,62089.0,"195,684",13.5,23152.0,3.1
92508,02-01-14,125 S Banana River Dr,0,1,28.3552,-80.6626,rockledge,Florida,FL,Alachua,63868.0,43686.0,"46,916",18.4,4105.0,2.9
